form	lemma_def	pos	src_mot
Hainaut	Hainaut	NOMpro	
Hainnaut	Hainaut	NOMpro	
Haïót	Haod	NOMpro	
Haïót	Aod	NOMpro	
Hamelaincort	Hamelaincort	NOMpro	
Hamtune	Hampton	NOMpro	
Hannibal	Hanibal	NOMpro	
Hanri	Henri	NOMpro	
Hanris	Henri	NOMpro	
Haquin	Haquin	NOMpro	
Harcourt	Harcourt	NOMpro	
Harecourt	Harcourt	NOMpro	
Harfleu	Harfleur	NOMpro	
Haymmon	Hamon	NOMpro	
Haynaut	Hainaut	NOMpro	
Haynnau	Hainaut	NOMpro	
Hedin	Hedin	NOMpro	
Helaine	Hélène	NOMpro	
Heleine	Hélène	NOMpro	
Heleinne	Hélène	NOMpro	
Helí	Eli	NOMpro	
Heliu	Helius	NOMpro	
Heliu	Elius	NOMpro	
Heloine	Hélène	NOMpro	
Helyseus	Elisée	NOMpro	
Hemon	Hemon	NOMpro	
Henault	Henault	NOMpro	
Henricus	Henricus	NOMpro	
Henris	Henri	NOMpro	
Henriz	Henri	NOMpro	
Henry	Henri	NOMpro	
Hérault	Hérault	NOMpro	
Herculés	Hercule	NOMpro	
Herefort	Erfort	NOMpro	
Herefort	Herford	NOMpro	
Herford	Herford	NOMpro	
Hernoul	Arnould	NOMpro	
Herodes	Hérode	NOMpro	
Hesdin	Hesdin	NOMpro	
Hire	Hire	NOMpro	
Hismael	Ismael	NOMpro	
Hjerussalem	Jérusalem	NOMpro	
Hoel	Hoël	NOMpro	
Holande	Hollande	NOMpro	
Holivet	Olivier	NOMpro	
Hollande	Hollande	NOMpro	
Honcourt	Honcourt	NOMpro	
Honguerie	Hongrie	NOMpro	
Hortense	Hortense	NOMpro	
Hostum	Autun	NOMpro	
Hue	Hugues	NOMpro	
Hughe	Hugues	NOMpro	
Hugue	Hugues	NOMpro	
Hugues	Hugues	NOMpro	
Humières	Humières	NOMpro	
Hyram	Hiram	NOMpro	
Ieremie	Jérémie	NOMpro	
Ihesu	Jésus	NOMpro	
Immaculati	Immaculati	NOMpro	
Iohans	Jean	NOMpro	
Iort	York	NOMpro	
Isabelle	Isabelle	NOMpro	
Islande	Islande	NOMpro	
Isorie	Isaurie	NOMpro	
Isorie	Issoire	NOMpro	
Israël	Israël	NOMpro	
Israhel	Israël	NOMpro	
Italie	Italie	NOMpro	
Itallie	Italie	NOMpro	
Jabés	Jabés	NOMpro	
Jachim	Achim	NOMpro	
Jachim	Achin	NOMpro	
Jacób	Jacob	NOMpro	
Jacques	Jacques	NOMpro	
Jannes	Jeanne	NOMpro	
Janyn	Janin	NOMpro	
Jebus	Jhebus	NOMpro	
Jehan-Baptiste	Jean-Baptiste	NOMpro	
Jehans	Jean	NOMpro	
Jeremie	Jérémie	NOMpro	
Jeremíe	Jérémie	NOMpro	
Jerichó	Jéricho	NOMpro	
Jeroboám	Jeroboam	NOMpro	
Jeroboám	Jéroboam	NOMpro	
Jerome	Jérôme	NOMpro	
Jersalem	Jérusalem	NOMpro	
Jerusalém	Jérusalem	NOMpro	
Jesabel	Jézabel	NOMpro	
Jessé	Jessé	NOMpro	
Jesu-Crist	Jésus-Christ	NOMpro	
Jesum	Jésus	NOMpro	
Jesus	Jésus	NOMpro	
Jesuscrist	Jésus-Christ	NOMpro	
Jezabel	Jezabel	NOMpro	
Jheremie	Jérémie	NOMpro	
Jherico	Jéricho	NOMpro	
Jherome	Jérôme	NOMpro	
Jheronime	Hieronyme	NOMpro	
Jheronime	Hiéronime	NOMpro	
Jherusalant	Jérusalem	NOMpro	
Jherusalem	Jérusalem	NOMpro	
Jhesucris	Jésus-Christ	NOMpro	
Jhesu-Crist	Jésus-Christ	NOMpro	
Jhésucrist	Jésus-Christ	NOMpro	
Jhesucrit	Jésus-Christ	NOMpro	
Jhesuz	Jésus	NOMpro	
Jóab	Joab	NOMpro	
Joacas	Joachas	NOMpro	
Joachas	Joachas	NOMpro	
Joachim	Joachim	NOMpro	
Joachím	Joachim	NOMpro	
Joachin	Joachim	NOMpro	
Joachín	Joachim	NOMpro	
Jóas	Joas	NOMpro	
Joatham	Joatham	NOMpro	
Jóathán	Joatham	NOMpro	
Job	Job	NOMpro	
Joël	Joël	NOMpro	
Johane	Johan	NOMpro	
Johannes	Johan	NOMpro	
Johannes	Johannes	NOMpro	
Johans	Johan	NOMpro	
Joïada	Joiada	NOMpro	
Jóïada	Joiada	NOMpro	
Jóïade	Joiade	NOMpro	
Josephf	Joseph	NOMpro	
Joseps	Joseph	NOMpro	
Jósias	Josias	NOMpro	
Josías	Josias	NOMpro	
Jovinian	Jovinian	NOMpro	
Jovinien	Jovinien	NOMpro	
Judich	Judich	NOMpro	
Judit	Judith	NOMpro	
Judith	Judith	NOMpro	
Julian	Julien	NOMpro	
Julien	Julien	NOMpro	
Juliens	Julien	NOMpro	
Julïus	Jules	NOMpro	
Junch	Jonc	NOMpro	
Junius	Junius	NOMpro	
Juno	Junon	NOMpro	
Justinien	Justinien	NOMpro	
Kaer	Kaer	NOMpro	
Kamelot	Camelot	NOMpro	
Kanáán	Canaan	NOMpro	
Kanáán	Canaam	NOMpro	
Kanáán	Chanaan	NOMpro	
Karliun	Carlion	NOMpro	
Karliuns	Caerleon	NOMpro	
Kateneis	Caithness	NOMpro	
Katerine	Catherine	NOMpro	
Katherine	Catherine	NOMpro	
Kent	Kent	NOMpro	
Key	Keu	NOMpro	
Kymar	Kinmarc	NOMpro	
Kynon	Chinon	NOMpro	
Kyrsaac	Kyrsac	NOMpro	
Kyrsaacs	Kyrsac	NOMpro	
Kyrsacs	Kyrsac	NOMpro	
Lacedemone	Lacédémone	NOMpro	
Lachis	Lachis	NOMpro	
Lachís	Lachis	NOMpro	
Lalain	Lalain	NOMpro	
Lalaing	Lalain	NOMpro	
Lalaing	Lallain	NOMpro	
Lambert	Lambert	NOMpro	
Lancastre	Lancaster	NOMpro	
Lanclastre	Lancaster	NOMpro	
Languedoc	Languedoc	NOMpro	
Laon	Laon	NOMpro	
Lascari	Lascaris	NOMpro	
Lascary	Lascaris	NOMpro	
Latinus	Latinus	NOMpro	
Launoy	Launoy	NOMpro	
Laurent	Laurent	NOMpro	
Lausus	Lausus	NOMpro	
Lemgres	Langres	NOMpro	
Lengres	Langres	NOMpro	
Lens	Lens	NOMpro	
Leone	Leone	NOMpro	
Lethes	Lethes	NOMpro	
Lethes	Léthé	NOMpro	
Libe	Libye	NOMpro	
Lïenarz	Liénard	NOMpro	
Ligurgus	Ligurgus	NOMpro	
Lisle	Lille	NOMpro	
Livius	Livius	NOMpro	
Lobnam	Onan	NOMpro	
Loeneis	Lothian	NOMpro	
Loëwis	Louis	NOMpro	
Loeys	Louis	NOMpro	
Lohorainne	Lorraine	NOMpro	
Lombardye	Lombardie	NOMpro	
Longueil	Longueil	NOMpro	
Longueval	Longueval	NOMpro	
Longueville	Longueville	NOMpro	
Lorens	Laurent	NOMpro	
Lorent	Laurent	NOMpro	
Lorenz	Laurent	NOMpro	
Lorraine	Lorraine	NOMpro	
Lorreinne	Lorraine	NOMpro	
Loundres	Londres	NOMpro	
Louvre	Louvre	NOMpro	
Lowis	Louis	NOMpro	
Lowys	Louis	NOMpro	
Loys	Louis	NOMpro	
Lozanne	Lausanne	NOMpro	
Lubias	Lubias	NOMpro	
Luc	Luc	NOMpro	
Lucas	Lucas	NOMpro	
Lucembourc	Luxembourg	NOMpro	
Lucie	Lucie	NOMpro	
Lucile	Lucile	NOMpro	
Lucille	Lucille	NOMpro	
Lucrece	Lucrèce	NOMpro	
Lucresse	Lucrèce	NOMpro	
Ludovico	Ludovico	NOMpro	
Lumbars	Lombard	NOMpro	
Lundres	Londres	NOMpro	
Luques	Luques	NOMpro	
Lussembourc	Luxembourg	NOMpro	
Luxembourg	Luxembourg	NOMpro	
Lymosin	Limousin	NOMpro	
Lyonnel	Lionel	NOMpro	
Machabée	Machabées	NOMpro	
Machabees	Machabee	NOMpro	
Machabees	Machabées	NOMpro	
Machabées	Machabées	NOMpro	
Machidoine	Macédoine	NOMpro	
Magdalene	Madeleine	NOMpro	
Magdaleyne	Madeleine	NOMpro	
Magdelaine	Madeleine	NOMpro	
Magdelene	Madeleine	NOMpro	
Maguelonne	Maguelonne	NOMpro	
Mahieus	Mahieu	NOMpro	
Mahiex	Mahieu	NOMpro	
Mahiu	Mahieu	NOMpro	
Mahom	Mahomet	NOMpro	
Mahomes	Mahomet	NOMpro	
Mahy	Mahy	NOMpro	
Maignac	Maignac	NOMpro	
Mailly	Mailly	NOMpro	
Malgo	Malgo	NOMpro	
Manassé	Manassé	NOMpro	
Manassés	Manassé	NOMpro	
Manehout	Manehot	NOMpro	
Manehout	Menehoud	NOMpro	
Marcelin	Marcelin	NOMpro	
Marcellin	Marcellin	NOMpro	
Marcellius	Marcellus	NOMpro	
Marcellius	Marcilius	NOMpro	
Marcellus	Marcellus	NOMpro	
Marcius	Marcius	NOMpro	
Margerite	Marguerite	NOMpro	
Marigny	Marigny	NOMpro	
Marius	Marius	NOMpro	
Marmande	Marmande	NOMpro	
Marseilles	Marseilles	NOMpro	
Martha	Martha	NOMpro	
Martini	Martini	NOMpro	
Mascon	Mâcon	NOMpro	
Masconnois	Mâconnais	NOMpro	
Mathán	Mathan	NOMpro	
Mathán	Matan	NOMpro	
Mathathias	Mathathias	NOMpro	
Matheole	Matheole	NOMpro	
Matheolus	Matheole	NOMpro	
Matheu	Mathieu	NOMpro	
Maubert	Maubert	NOMpro	
Maugis	Maugis	NOMpro	
Mauny	Mauny	NOMpro	
Mauric	Mauric	NOMpro	
Maurice	Maurice	NOMpro	
Maxence	Maxence	NOMpro	
Maximian	Maximian	NOMpro	
Maximus	Maximus	NOMpro	
Meaulx	Meaux	NOMpro	
Meaulz	Meaux	NOMpro	
Meaux	Meaux	NOMpro	
Medée	Médée	NOMpro	
Melan	Milan	NOMpro	
Meleun	Melun	NOMpro	
Melian	Melian	NOMpro	
Melior	Melior	NOMpro	
Mentowa	Mentoue	NOMpro	
Mercurius	Mercure	NOMpro	
Merlins	Merlin	NOMpro	
Merteny	Martiny	NOMpro	
Merteny	Martini	NOMpro	
Mesapus	Mesapus	NOMpro	
Meucien	Multien	NOMpro	
Meulen	Meulen	NOMpro	
Meum	Meum	NOMpro	
Meyn	Meyn	NOMpro	
Michael	Michael	NOMpro	
Michault	Michaut	NOMpro	
Michiel	Michel	NOMpro	
Milesius	Milesius	NOMpro	
Milly	Milly	NOMpro	
Miraumont	Miraumont	NOMpro	
Modin	Modin	NOMpro	
Modon	Modon	NOMpro	
Moïse	Moïse	NOMpro	
Mondidier	Mondidier	NOMpro	
Monferant	Montferrant	NOMpro	
Monpesat	Monpesat	NOMpro	
Monstrelet	Monstrelet	NOMpro	
Montabon	Montauban	NOMpro	
Montagu	Montaigu	NOMpro	
Montargis	Montargis	NOMpro	
Montauban	Montauban	NOMpro	
Montauben	Montauban	NOMpro	
Montereau	Montereau	NOMpro	
Montferant	Montferrant	NOMpro	
Montferrat	Montferrat	NOMpro	
Montfort	Montfort	NOMpro	
Montmorancy	Montmorancy	NOMpro	
Montmorancy	Montmorency	NOMpro	
Montmorenci	Montmorency	NOMpro	
Montmorency	Montmorency	NOMpro	
Montpesat	Montpesat	NOMpro	
Morat	Morat	NOMpro	
Morave	Morave	NOMpro	
Morée	Morée	NOMpro	
Morgain	Morgan	NOMpro	
Morgan	Morgan	NOMpro	
Morigni	Origny	NOMpro	
Morigni	Marigny	NOMpro	
Mortemer	Mortemer	NOMpro	
Mountferrant	Montferrant	NOMpro	
Mountferrant	Montferrand	NOMpro	
Mountgomery	Montgomery	NOMpro	
Moya	Moya	NOMpro	
Moyse	Moïse	NOMpro	
Moÿsen	Moïse	NOMpro	
Moyses	Moïse	NOMpro	
Moÿses	Moïse	NOMpro	
Moÿsés	Moïse	NOMpro	
Moÿsi	Moïse	NOMpro	
Moÿsí	Moïse	NOMpro	
Munpelier	Montpellier	NOMpro	
Myro	Myro	NOMpro	
Nabugodonosor	Nabucodonosor	NOMpro	
Nabuzardan	Nabuzadan	NOMpro	
Nammur	Namur	NOMpro	
Namur	Namur	NOMpro	
Nanterre	Nanterre	NOMpro	
Nantueil	Nantueil	NOMpro	
Narbonne	Narbonne	NOMpro	
Nathalie	Nathalie	NOMpro	
Navarre	Navarre	NOMpro	
Nec	Nec	NOMpro	
Nechaó	Nechao	NOMpro	
Neemie	Neemie	NOMpro	
Nemine	Nemine	NOMpro	
Nemours	Nemours	NOMpro	
Nenterre	Nanterre	NOMpro	
Neptalim	Neptalim	NOMpro	
Neptalím	Neptalim	NOMpro	
Neptunus	Neptune	NOMpro	
Nerbonne	Narbonne	NOMpro	
Nesle	Nesle	NOMpro	
Nevers	Nevers	NOMpro	
Nicase	Nicaise	NOMpro	
Nicholai	Nicolas	NOMpro	
Nicholes	Nicolas	NOMpro	
Nicodemus	Nicodemus	NOMpro	
Nicolle	Nicole	NOMpro	
Nicolle	Nicolle	NOMpro	
Nicossie	Nicosie	NOMpro	
Nimis	Nîme	NOMpro	
Nimis	Nemi	NOMpro	
Ninive	Ninive	NOMpro	
Niort	Niort	NOMpro	
Nisus	Nisus	NOMpro	
Noefville	Noefville	NOMpro	
Noefville	Neuville	NOMpro	
Noli	Noli	NOMpro	
Noreis	Norrois	NOMpro	
Norembergh	Nuremberg	NOMpro	
Norewiz	Norwich	NOMpro	
Norhombellande	Northurberland	NOMpro	
Norhonbelande	Northurberland	NOMpro	
Normandye	Normandie	NOMpro	
Northumberlande	Northumberland	NOMpro	
Norweye	Norvège	NOMpro	
Novembris	Novembris	NOMpro	
Novi	Novi	NOMpro	
Noyelle	Noyelle	NOMpro	
Noyon	Noyon	NOMpro	
Nubie	Nubie	NOMpro	
Numïus	Nonnus	NOMpro	
Numïus	Hunnius	NOMpro	
Nycholas	Nicolas	NOMpro	
Nycolas	Nicolas	NOMpro	
Nyort	Niort	NOMpro	
Oeudon	Eude	NOMpro	
Oeudon	Edon	NOMpro	
Omni	Omni	NOMpro	
Ophír	Ophir	NOMpro	
Orace	Orace	NOMpro	
Oréb	Oreb	NOMpro	
Oréb	Horeb	NOMpro	
Orkanie	Orcanie	NOMpro	
Orkenie	Orcanie	NOMpro	
Orleans	Orléans	NOMpro	
Orlians	Orléans	NOMpro	
Orliaunce	Orléans	NOMpro	
Orpheüs	Orpheus	NOMpro	
Ostriche	Autriche	NOMpro	
Ostum	Autum	NOMpro	
Oswald	Oswald	NOMpro	
Oswalt	Oswald	NOMpro	
Othon	Othon	NOMpro	
Otthe	Othon	NOMpro	
Oudart	Oudart	NOMpro	
Ougues	Hugues	NOMpro	
Outeriche	Autriche	NOMpro	
Ouvergne	Auvergne	NOMpro	
Oxone	Ossone	NOMpro	
Oxone	Oxane	NOMpro	
Oxone	Auxonne	NOMpro	
Oxone	Ausone	NOMpro	
Pacem	Pacem	NOMpro	
Pacis	Passy	NOMpro	
Palantee	Pallantée	NOMpro	
Palladius	Palladius	NOMpro	
Pandarus	Pandarus	NOMpro	
Pantevre	Penthièvre	NOMpro	
Papie	Papie	NOMpro	
Parpegnan	Perpignan	NOMpro	
Parthenay	Parthenay	NOMpro	
Parvanchières	Parvanchières	NOMpro	
Patris	Patrice	NOMpro	
Patris	Patris	NOMpro	
Paula	Paula	NOMpro	
Paules	Paul	NOMpro	
Paulin	Paulin	NOMpro	
Pavye	Pavie	NOMpro	
Pembroc	Pembroc	NOMpro	
Penelope	Pénélope	NOMpro	
Pera	Pera	NOMpro	
Peritus	Peritus	NOMpro	
Perronne	Peronne	NOMpro	
Petdres	Pierre	NOMpro	
Petdrun	Pierre	NOMpro	
Petrus	Pierre	NOMpro	
Pharan	Pharan	NOMpro	
Pharao	Pharao	NOMpro	
Phelipe	Philippe	NOMpro	
Phelippe	Philippe	NOMpro	
Phelippes	Philippe	NOMpro	
Phelippom	Philippeau	NOMpro	
Phelippom	Philippe	NOMpro	
Philebers	Philebert	NOMpro	
Philebers	Philibert	NOMpro	
Philebert	Philebert	NOMpro	
Philippe	Philippe	NOMpro	
Philippes	Philippe	NOMpro	
Philistum	Philistie	NOMpro	
Phillebert	Philibert	NOMpro	
Phillippe	Philippe	NOMpro	
Philomena	Philomena	NOMpro	
Philosophus	Philosophus	NOMpro	
Phoroneüs	Foroneus	NOMpro	
Phylebers	Philibert	NOMpro	
Picardie	Picardie	NOMpro	
Picardye	Picardie	NOMpro	
Pieregort	Périgord	NOMpro	
Piérre	Pierre	NOMpro	
Pierregort	Périgord	NOMpro	
Pigmalion	Pygmalion	NOMpro	
Pitagoras	Pythagore	NOMpro	
Plaintius	Plancius	NOMpro	
Plaintius	Plautius	NOMpro	
Planchy	Plancy	NOMpro	
Pluto	Pluton	NOMpro	
Poictiers	Poitiers	NOMpro	
Poictou	Poitou	NOMpro	
Poissi	Poissy	NOMpro	
Poissy	Poissy	NOMpro	
Poittiers	Poitiers	NOMpro	
Policletus	Polyclète	NOMpro	
Polinices	Polynices	NOMpro	
Polinices	Polinice	NOMpro	
Pollux	Pollux	NOMpro	
Pontigni	Pontigny	NOMpro	
Pontigny	Pontigny	NOMpro	
Pontiu	Pontius	NOMpro	
Pontiu	Pontieu	NOMpro	
Pontoise	Pontoise	NOMpro	
Portugal	Portugal	NOMpro	
Posthumus	Postumus	NOMpro	
Poytiers	Poitiers	NOMpro	
Prade	Prade	NOMpro	
Prenestine	Prenestine	NOMpro	
Pressigni	Pressigny	NOMpro	
Priamus	Priam	NOMpro	
Primus	Primus	NOMpro	
Proserpine	Proserpine	NOMpro	
Prud	Prud	NOMpro	
Pylate	Pilate	NOMpro	
Pymont	Piémont	NOMpro	
Pytagoras	Pythagore	NOMpro	
Quantin	Quentin	NOMpro	
Quesnoy	Quesnoy	NOMpro	
Quiéret	Quieret	NOMpro	
Quos	Quos	NOMpro	
Raab	Raab	NOMpro	
Radegonde	Radegonde	NOMpro	
Rainneval	Raneval	NOMpro	
Rameston	Rameston	NOMpro	
Raouls	Raoul	NOMpro	
Raous	Raoul	NOMpro	
Raphael	Raphaël	NOMpro	
Rasin	Razin	NOMpro	
Rasín	Razin	NOMpro	
Rayneval	Raneval	NOMpro	
Regio	Regio	NOMpro	
Regnault	Renault	NOMpro	
Regnaut	Regnaut	NOMpro	
Reinald	Reinald	NOMpro	
Remon	Raymond	NOMpro	
Remon	Remon	NOMpro	
Remond	Raymond	NOMpro	
Remond	Remond	NOMpro	
Remy	Rémi	NOMpro	
Renauld	Renaud	NOMpro	
Renauld	Renold	NOMpro	
Renauld	Renault	NOMpro	
Renauld	Rainauld	NOMpro	
Renault	Renault	NOMpro	
Resphá	Sha	NOMpro	
Resphá	Shâ	NOMpro	
Reyns	Reims	NOMpro	
Richemont	Richemont	NOMpro	
Robeçon	Robechon	NOMpro	
Robers	Robert	NOMpro	
Roberz	Robert	NOMpro	
Roboan	Roboam	NOMpro	
Rochefort	Rochefort	NOMpro	
Rochefoucaut	Rochefoucaut	NOMpro	
Rochelle	Rochelle	NOMpro	
Rodrigue	Rodrigue	NOMpro	
Roem	Rouen	NOMpro	
Roger	Roger	NOMpro	
Rogier	Roger	NOMpro	
Rogiers	Roger	NOMpro	
Rohault	Rohault	NOMpro	
Roland	Roland	NOMpro	
Rollanz	Roland	NOMpro	
Romein	Romain	NOMpro	
Romeins	Romain	NOMpro	
Romelie	Romelie	NOMpro	
Romelíe	Romelie	NOMpro	
Romme	Rome	NOMpro	
Roncevaulx	Roncevaulx	NOMpro	
Roncevaulx	Roncevaux	NOMpro	
Rouergue	Rouergue	NOMpro	
Rougemont	Rougemont	NOMpro	
Roussillon	Roussillon	NOMpro	
Rouville	Rouville	NOMpro	
Royaumont	Royaumont	NOMpro	
Ruem	Rouen	NOMpro	
Ruen	Rouen	NOMpro	
Sabïens	Sabien	NOMpro	
Sadoc	Sadoc	NOMpro	
Sadóc	Sadoc	NOMpro	
Sadóch	Sadoc	NOMpro	
Saidne	Saxon	NOMpro	
Saincte-Sevère	Saincte-Sevère	NOMpro	
Saincte-Sevère	Sainte-Severe	NOMpro	
Saint-Denis	Saint-Denis	NOMpro	
Saint-Deniz	Saint-Denis	NOMpro	
Saint-Deniz	Saint-Deniz	NOMpro	
Saint-Denys	Saint-Denis	NOMpro	
Sainte-Genevieve	Sainte-Geneviève	NOMpro	
Sainte-Katherine	Sainte-Catherine	NOMpro	
Sainte-Sevère	Sainte-Severe	NOMpro	
Sainte-Sevère	Sainte-Sevère	NOMpro	
Saint-Flour	Saint-Flour	NOMpro	
Saint-Jehan-Baptiste	Saint-Jean-Baptiste	NOMpro	
Saint-Michiel	Saint-Michel	NOMpro	
Saint-Per	Saint-Pierre	NOMpro	
Saint-Per	Saint-Per	NOMpro	
Saint-Pol	Saint-Paul	NOMpro	
Saint-Quentin	Saint-Quentin	NOMpro	
Saint-Simon	Saint-Simon	NOMpro	
Saint-Victor	Saint-Victor	NOMpro	
Saka	Saka	NOMpro	
Salbery	Salsbury	NOMpro	
Salehadins	Saladin	NOMpro	
Salenike	Selenice	NOMpro	
Salenike	Selenisse	NOMpro	
Salmanasar	Salmanasar	NOMpro	
Salmanassar	Salmanasar	NOMpro	
Salmanassar	Salmanazar	NOMpro	
Salomun	Salomon	NOMpro	
Salomuns	Salomon	NOMpro	
Salon	Sallon	NOMpro	
Salon	Salon	NOMpro	
Salonique	Salonique	NOMpro	
Samaríe	Samarie	NOMpro	
Samon	Samon	NOMpro	
Sampson	Samson	NOMpro	
Sancto	Sancto	NOMpro	
Sangate	Sangatte	NOMpro	
Saquy	Isaac	NOMpro	
Saqy	Isaac	NOMpro	
Sarazins	Sarrasin	NOMpro	
Satanán	Satan	NOMpro	
Satanás	Satan	NOMpro	
Saverne	Saverne	NOMpro	
Saveuses	Saveuse	NOMpro	
Saxone	Saxone	NOMpro	
Scaurus	Scaurus	NOMpro	
Scipion	Scipion	NOMpro	
Scipions	Scipions	NOMpro	
Scipïun	Scipion	NOMpro	
Sebastien	Sebastien	NOMpro	
Sebilla	Sibylle	NOMpro	
Sebille	Sebille	NOMpro	
Sedechias	Sedechias	NOMpro	
Sedechías	Sedechias	NOMpro	
Sedechie	Sedechie	NOMpro	
Sedechíe	Sedechie	NOMpro	
Seidne	Saxon	NOMpro	
Seissuns	Saxon	NOMpro	
Sellum	Sellum	NOMpro	
Seneque	Sénèque	NOMpro	
Seneques	Seneques	NOMpro	
Senlis	Senlis	NOMpro	
Senliz	Senlis	NOMpro	
Sennacherib	Sennacherib	NOMpro	
Sennacheríb	Sennacherib	NOMpro	
Sesayre	Cesayre	NOMpro	
Sesayre	Cesaire	NOMpro	
Sesile	Sicile	NOMpro	
Sessoingne	Sassoingne	NOMpro	
Sessons	Soissons	NOMpro	
Sessuine	Saxe	NOMpro	
Seyne	Seine	NOMpro	
Seÿr	Séïr	NOMpro	
Sezaire	Cesaire	NOMpro	
Sezaire	Cesayre	NOMpro	
Sezaire	César	NOMpro	
Sezille	Sicile	NOMpro	
Sguro	Sgure	NOMpro	
Sibilla	Sibylle	NOMpro	
Sibille	Sibille	NOMpro	
Sicheüs	Sychée	NOMpro	
Silverius	Silverius	NOMpro	
Silvia	Sylvia	NOMpro	
Silvïus	Sylvius	NOMpro	
Simonnet	Simonet	NOMpro	
Sinay	Sinaï	NOMpro	
Siríe	Syrie	NOMpro	
Sochót	Sochot	NOMpro	
Socrates	Socrate	NOMpro	
Solehadins	Saladin	NOMpro	
Sommarie	Samarie	NOMpro	
Sommarie	Aumarie	NOMpro	
Souysse	Suisse	NOMpro	
Spiritu	Spiritu	NOMpro	
Statibus	Statibus	NOMpro	
Stephanus	Stephanus	NOMpro	
Suffolk	Suffolk	NOMpro	
Suffort	Suffort	NOMpro	
Sulli	Sulli	NOMpro	
Sully	Sully	NOMpro	
Surie	Syrie	NOMpro	
Suriens	Suriens	NOMpro	
Surrie	Surrey	NOMpro	
Surye	Syrie	NOMpro	
Susane	Suzanne	NOMpro	
Susanne	Suzanne	NOMpro	
Suze	Suze	NOMpro	
Symachus	Symmaque	NOMpro	
Symëonz	Siméon	NOMpro	
Symon	Simon	NOMpro	
Symons	Simon	NOMpro	
Symphorien	Symphorien	NOMpro	
Synay	Sinaï	NOMpro	
Syon	Sion	NOMpro	
Syríe	Syrie	NOMpro	
Tancarville	Tancarville	NOMpro	
Tanegui	Tanegui	NOMpro	
Tanquarville	Tancarville	NOMpro	
Tantalus	Tantale	NOMpro	
Tarbe	Tarbes	NOMpro	
Teivre	Tibre	NOMpro	
Teseüs	Thésée	NOMpro	
Testimonium	Testimonium	NOMpro	
Th	Th	NOMpro	
Thaleboth	Talebot	NOMpro	
Tharacha	Tharaca	NOMpro	
Tharacha	Taraca	NOMpro	
Thebaud	Thibaut	NOMpro	
Thebaud	Thiébaut	NOMpro	
Theodose	Theodose	NOMpro	
Theodose	Théodose	NOMpro	
Theodosine	Theodose	NOMpro	
Theodosine	Théodose	NOMpro	
Theodosine	Theodoce	NOMpro	
Theofraste	Theofraste	NOMpro	
Theofrastus	Theofraste	NOMpro	
Theophilé	Theophile	NOMpro	
Theophilé	Théophile	NOMpro	
Theophilé	Theophiles	NOMpro	
Theophilé	Theophyle	NOMpro	
Theophilum	Theophile	NOMpro	
Theophilum	Théophile	NOMpro	
Theophilum	Theophyle	NOMpro	
Theophilus	Theophilus	NOMpro	
Therence	Terence	NOMpro	
Therouanne	Terouanne	NOMpro	
Therouanne	Therouenne	NOMpro	
Therouenne	Therouenne	NOMpro	
Theseüs	Thésée	NOMpro	
Thesifone	Thesiphone	NOMpro	
Thessaille	Thessalie	NOMpro	
Thessale	Thessalie	NOMpro	
Thiébault	Thibaut	NOMpro	
Thiébault	Thiébaut	NOMpro	
Thiebaus	Thibaut	NOMpro	
Thiebaus	Thiébaut	NOMpro	
Thiebaut	Thiébaut	NOMpro	
Thierris	Thiery	NOMpro	
Thierry	Thiery	NOMpro	
Thimotee	Timothée	NOMpro	
Thimothee	Timothée	NOMpro	
Thionville	Thionville	NOMpro	
Thir	Thir	NOMpro	
Thobie	Thobie	NOMpro	
Tholouse	Toulouse	NOMpro	
Thoringe	Thoringe	NOMpro	
Thoulouse	Toulouse	NOMpro	
Thoulouze	Toulouse	NOMpro	
Thoumas	Thomas	NOMpro	
Thumas	Thomas	NOMpro	
